"HPA.category","Annotation","N_BG","Freq_BG","N_MS","Freq_MS","N_Olink","Freq_Olink","N.diff","Freq.diff","Fisher.pvalue","Fisher.adj.p","Higher","Enr.pvalue_MS","Enr.adj.p_MS","Enr.pvalue_Olink","Enr.adj.p_Olink","Enriched"
"Chromosome","1",484,11.3855563396848,292,11.7599677809102,331,11.449325492909,-39,0.310642288001162,0.732571848763402,1,"MS",0.194558912336124,0.943025662949235,0.446562694970437,1,"None"
"Chromosome","10",164,3.85791578452129,90,3.6246476037052,111,3.8395019024559,-21,-0.214854298750702,0.718637078823375,1,"Olink",0.845319335516405,1,0.573523896966149,1,"None"
"Chromosome","11",267,6.28087508821454,158,6.36327023761579,177,6.12244897959184,-19,0.24082125802395,0.734372506000866,1,"MS",0.422620954467246,0.943025662949235,0.755578745798984,1,"None"
"Chromosome","12",234,5.5045871559633,135,5.43697140555779,153,5.29228640608786,-18,0.144684999469935,0.855431778822813,1,"MS",0.618030990112031,0.953149234788473,0.830884933299514,1,"None"
"Chromosome","13",63,1.48200423429781,35,1.40958517921869,47,1.62573503977862,-12,-0.216149860559936,0.577281825075231,1,"Olink",0.724393418439239,0.953149234788473,0.159922022923059,0.63360248426773,"None"
"Chromosome","14",170,3.9990590449306,110,4.43012484897302,89,3.07851954341058,21,1.35160530556243,0.00912175538888753,0.114021942361094,"MS",0.0517045876718843,0.323153672949277,0.999995022793459,1,"None"
"Chromosome","15",105,2.47000705716302,59,2.37615787354007,73,2.52507782774127,-14,-0.148919954201194,0.791014250304293,1,"Olink",0.715930810577716,0.953149234788473,0.413068599672533,1,"None"
"Chromosome","16",172,4.04610679840038,89,3.5843737414418,117,4.04704254583189,-28,-0.462668804390088,0.393145088499216,1,"Olink",0.970045915653559,1,0.535085396571807,1,"None"
"Chromosome","17",251,5.90449306045636,147,5.92025775271849,169,5.84572812175718,-22,0.074529630961309,0.907569121579008,1,"MS",0.507020015866485,0.943025662949235,0.622994540322463,1,"None"
"Chromosome","18",57,1.3408609738885,41,1.65122835279903,33,1.14147353856797,8,0.509754814231064,0.126760414596352,0.7922525912272,"MS",0.0238436437336054,0.198697031113378,0.960958350087845,1,"None"
"Chromosome","19",296,6.96306751352623,143,5.75916230366492,232,8.02490487720512,-89,-2.2657425735402,0.00124979538096,0.031244884524,"Olink",0.99988794873051,1,2.90097977595212e-05,0.00072524494398803,"Olink"
"Chromosome","2",305,7.1747824041402,181,7.28956906967378,195,6.74507090971982,-14,0.544498159953961,0.452896965160057,1,"MS",0.389488691428069,0.943025662949235,0.949120871340437,1,"None"
"Chromosome","20",111,2.61115031757234,65,2.61780104712042,74,2.5596679349706,-9,0.0581331121498203,0.93139211837928,1,"MS",0.528094371251571,0.943025662949235,0.662583467903496,1,"None"
"Chromosome","21",38,0.893907315925665,23,0.926298832057994,29,1.00311310965064,-6,-0.0768142775926454,0.889025788543019,1,"Olink",0.463648301503729,0.943025662949235,0.177408695594964,0.63360248426773,"None"
"Chromosome","22",131,3.08162785227005,90,3.6246476037052,75,2.59425804219993,15,1.03038956150526,0.0321050809363789,0.267542341136491,"MS",0.00897889880298464,0.198697031113378,0.996725350116564,1,"None"
"Chromosome","3",205,4.82239473065161,134,5.3966975432944,136,4.70425458318921,-2,0.692442960105194,0.259776131848579,1,"MS",0.0220966415408373,0.198697031113378,0.727786112453224,1,"None"
"Chromosome","4",169,3.97553516819572,101,4.0676600886025,126,4.35835351089588,-25,-0.290693422293386,0.634148592543664,1,"Olink",0.389442906085075,0.943025662949235,0.0358002924794144,0.44750365599268,"None"
"Chromosome","5",175,4.11667842860503,107,4.30930326218284,128,4.42753372535455,-21,-0.118230463171705,0.841269259382051,1,"Olink",0.25192984240235,0.943025662949235,0.0785913189076753,0.49119574317297,"None"
"Chromosome","6",225,5.29287226534933,129,5.19532823197745,154,5.32687651331719,-25,-0.131548281339745,0.854327216817904,1,"Olink",0.65870330484299,0.953149234788473,0.47486176367303,1,"None"
"Chromosome","7",189,4.44601270289344,111,4.47039871123641,129,4.46212383258388,-18,0.00827487865252685,1,1,"MS",0.495189988751918,0.943025662949235,0.50566731707081,1,"None"
"Chromosome","8",142,3.3403904963538,74,2.98026580749094,105,3.6319612590799,-31,-0.651695451588965,0.195310370084897,0.976551850424486,"Olink",0.948362057497761,1,0.0715972904040069,0.49119574317297,"None"
"Chromosome","9",164,3.85791578452129,99,3.98711236407572,119,4.11622276029056,-20,-0.129110396214842,0.835403395128239,1,"Olink",0.33215143185925,0.943025662949235,0.116227504323837,0.581137521619184,"None"
"Chromosome","Unmapped",1,0.0235238767348859,1,0.0402738622633911,0,0,1,0.0402738622633911,0.462039449199851,1,"MS",0.584097859327217,0.953149234788473,1,1,"None"
"Chromosome","X",133,3.12867560573983,69,2.77889649617398,89,3.07851954341058,-20,-0.299623047236602,0.57091538695486,1,"Olink",0.949037493568762,1,0.647030846764173,1,"None"
"Chromosome","Unknown",0,0,0,0,0,0,0,0,1,1,"No difference",1,1,1,1,"None"
"Protein.class","Blood group antigen proteins",18,0.423429781227946,13,0.523560209424084,12,0.415081286751989,1,0.108478922672095,0.688472957863482,0.717159331107793,"MS",0.171104914654281,0.356468572196418,0.655524006391223,1,"None"
"Protein.class","Cancer-related genes",752,17.6899553046342,456,18.3648811921063,562,19.4396402628848,-106,-1.07475907077849,0.328321885135916,0.474905032041056,"Olink",0.0922396119768027,0.209635481765461,5.81181357435404e-06,4.84317797862836e-05,"Olink"
"Protein.class","Candidate cardiovascular disease genes",143,3.36391437308868,116,4.67176802255336,114,3.9432722241439,2,0.728495798409468,0.19922403928587,0.355757213010483,"MS",3.80365721481176e-09,1.58485717283823e-08,0.00108293585666363,0.00541467928331813,"Both"
"Protein.class","CD markers",298,7.010115266996,174,7.00765203383004,266,9.20096852300242,-92,-2.19331648917238,0.0037650216625422,0.0134465059376507,"Olink",0.52842301750036,0.943612531250642,5.60636821299518e-19,1.4015920532488e-17,"Olink"
"Protein.class","Citric acid cycle related proteins",11,0.258762644083745,10,0.402738622633911,3,0.103770321687997,7,0.298968300945913,0.0468427191961793,0.106460725445862,"MS",0.0237119961053875,0.074099987829336,0.99903339199769,1,"None"
"Protein.class","Disease related genes",1394,32.792284168431,842,33.9105920257753,949,32.8260117606365,-107,1.08458026513881,0.416435960507888,0.547942053299852,"MS",0.0352221128606051,0.0978392023905696,0.487305081617667,0.812175136029446,"None"
"Protein.class","Enzymes",1140,26.8172194777699,749,30.1651228352799,733,25.3545485991007,16,4.81057423617925,8.87648007294292e-05,0.000443824003647146,"MS",2.56230184554925e-09,1.28115092277463e-08,0.99920762864218,1,"MS"
"Protein.class","FDA approved drug targets",364,8.56269113149847,211,8.49778493757551,275,9.51227948806641,-64,-1.0144945504909,0.19817212057824,0.355757213010483,"Olink",0.593763312832966,0.989605521388278,0.000619819777891714,0.00387387361182321,"Olink"
"Protein.class","G-protein coupled receptors",36,0.846859562455893,14,0.563834071687475,29,1.00311310965064,-15,-0.439279037963165,0.0903059219090156,0.188137337310449,"Olink",0.994409525199841,1,0.0705539150657895,0.191943502929121,"None"
"Protein.class","Human disease related genes",1340,31.5219948247471,805,32.4204591220298,919,31.7883085437565,-114,0.632150578273315,0.639126467248045,0.694702681791353,"MS",0.0719300536664619,0.179825134166155,0.305612324770486,0.636692343271845,"None"
"Protein.class","Immunoglobulin genes",88,2.07010115266996,88,3.54409987917841,1,0.0345901072293324,87,3.50950977194908,6.55525526573343e-29,8.19406908216678e-28,"MS",1.4688378189985e-21,1.83604727374813e-20,1,1,"MS"
"Protein.class","Metabolic proteins",836,19.6659609503646,576,23.1977446637132,528,18.2635766170875,48,4.93416804662574,9.01878756508788e-06,5.63674222817992e-05,"MS",2.39333943882555e-12,1.49583714926597e-11,0.999620037081687,1,"MS"
"Protein.class","Nuclear receptors",2,0.0470477534697718,0,0,2,0.0691802144586648,-2,-0.0691802144586648,0.502789485339003,0.59855891111786,"Olink",1,1,0.462451187955775,0.812175136029446,"None"
"Protein.class","Plasma proteins",1827,42.9781227946366,1426,57.4305275875956,1118,38.6717398823936,308,18.758787705202,5.72102334116157e-43,1.43025583529039e-41,"MS",5.80602657988188e-117,1.45150664497047e-115,1,1,"MS"
"Protein.class","Potential drug targets",499,11.7384144907081,327,13.1695529601289,317,10.9650639916984,10,2.2044889684305,0.0145102807087813,0.0362757017719532,"MS",0.000319791702683854,0.00114211322387091,0.989724288598619,1,"MS"
"Protein.class","Predicted intracellular proteins",3203,75.3469771818396,1861,74.9496576721708,2130,73.676928398478,-269,1.27272927369273,0.301752100760747,0.471487657438668,"MS",0.772750584324119,1,0.999913402152144,1,"None"
"Protein.class","Predicted membrane proteins",1109,26.0879792989885,616,24.8086991542489,845,29.2286406087859,-229,-4.419941454537,0.000284913609635968,0.00118714004014986,"Olink",0.988781745030519,1,2.98235232997954e-12,3.72794041247443e-11,"Olink"
"Protein.class","Predicted secreted proteins",1154,27.1465537520583,782,31.4941602899718,815,28.1909373919059,-33,3.30322289806589,0.00843930963479208,0.0251323540742138,"MS",1.61645079145277e-14,1.34704232621064e-13,0.013770411414065,0.0491800407645178,"Both"
"Protein.class","Ras pathway related proteins",107,2.51705481063279,58,2.33588401127668,80,2.76720857834659,-22,-0.431324567069912,0.34193162306956,0.474905032041056,"Olink",0.839667071372926,1,0.0767774011716482,0.191943502929121,"None"
"Protein.class","Ribosomal proteins",21,0.494001411432604,13,0.523560209424084,9,0.311310965063992,4,0.212249244360092,0.284696195032608,0.471487657438668,"MS",0.463773213578475,0.89187156457399,0.995502733013797,1,"None"
